question_id,method,factscore,hall_rate,cit_precision,ans_accuracy,ans_recall,search_available
FQ070,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ130,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ398,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ010,vanilla_rag,0.0,1.0,,0.0,0.0,True
CUSTOM_AB2,vanilla_rag,0.0,1.0,0.0,,,True
CUSTOM_SAGA,vanilla_rag,0.0,1.0,0.0,,,True
CUSTOM_ANEMOI,vanilla_rag,0.0,1.0,0.0,,,True
CUSTOM_ANEMOI2,vanilla_rag,0.0,1.0,0.0,,,True
FQ000,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ001,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ002,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ003,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ004,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ005,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ006,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ007,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ008,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ009,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ011,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ012,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ013,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ014,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ015,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ016,vanilla_rag,0.0,1.0,,0.0,0.0,False
FQ017,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ018,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ019,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ020,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ021,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ022,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ023,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ024,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ025,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ026,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ027,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ028,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ029,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ030,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ031,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ032,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ033,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ034,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ035,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ036,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ037,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ038,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ039,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ040,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ041,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ042,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ043,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ044,vanilla_rag,0.0,1.0,0.0,0.0,0.0,True
FQ070,self_rag,0.0,1.0,,0.0,0.0,True
FQ130,self_rag,0.0,1.0,,0.0,0.0,True
FQ398,self_rag,0.0,1.0,,0.0,0.0,True
FQ010,self_rag,0.0,1.0,0.0,0.0,0.0,True
CUSTOM_AB2,self_rag,0.0,1.0,,,,True
CUSTOM_SAGA,self_rag,0.0,1.0,,,,True
CUSTOM_ANEMOI,self_rag,0.0,1.0,0.0,,,True
CUSTOM_ANEMOI2,self_rag,0.0,1.0,,,,True
FQ000,self_rag,0.0,1.0,,0.0,0.0,True
FQ001,self_rag,0.0,1.0,0.0,0.0,0.0,True
FQ002,self_rag,0.0,1.0,,0.0,0.0,True
FQ003,self_rag,0.0,1.0,,0.0,0.0,True
FQ004,self_rag,0.0,1.0,,0.0,0.0,True
FQ005,self_rag,0.0,1.0,,0.0,0.0,True
FQ006,self_rag,0.0,1.0,,0.0,0.0,True
FQ007,self_rag,0.0,1.0,0.0,0.0,0.0,True
FQ008,self_rag,0.0,1.0,,0.0,0.0,True
FQ009,self_rag,0.0,1.0,,0.0,0.0,True
FQ011,self_rag,0.0,1.0,,0.0,0.0,True
FQ012,self_rag,0.0,1.0,,0.0,0.0,True
FQ013,self_rag,0.0,1.0,,0.0,0.0,True
FQ014,self_rag,0.0,1.0,,0.0,0.0,True
FQ015,self_rag,0.0,1.0,,0.0,0.0,True
FQ016,self_rag,0.0,1.0,,0.0,0.0,False
FQ017,self_rag,0.0,1.0,,0.0,0.0,True
FQ018,self_rag,0.0,1.0,,0.0,0.0,True
FQ019,self_rag,0.0,1.0,,0.0,0.0,True
FQ020,self_rag,0.0,1.0,,0.0,0.0,True
FQ021,self_rag,0.0,1.0,0.0,0.0,0.0,True
FQ022,self_rag,0.0,1.0,,0.0,0.0,True
FQ023,self_rag,0.0,1.0,0.0,0.0,0.0,True
FQ024,self_rag,0.0,1.0,,0.0,0.0,True
FQ025,self_rag,0.0,1.0,,0.0,0.0,True
FQ026,self_rag,0.0,1.0,,0.0,0.0,True
FQ027,self_rag,0.0,1.0,0.0,0.0,0.0,True
FQ028,self_rag,0.0,1.0,,0.0,0.0,True
FQ029,self_rag,0.0,1.0,,0.0,0.0,True
FQ030,self_rag,0.0,1.0,,0.0,0.0,True
FQ031,self_rag,0.0,1.0,,0.0,0.0,True
FQ032,self_rag,0.0,1.0,,0.0,0.0,True
FQ033,self_rag,0.0,1.0,,0.0,0.0,True
FQ034,self_rag,0.0,1.0,0.0,0.0,0.0,True
FQ035,self_rag,0.0,1.0,,0.0,0.0,True
FQ036,self_rag,0.0,1.0,,0.0,0.0,True
FQ037,self_rag,0.0,1.0,,0.0,0.0,True
FQ038,self_rag,0.0,1.0,,0.0,0.0,True
FQ039,self_rag,0.0,1.0,,0.0,0.0,True
FQ040,self_rag,0.0,1.0,,0.0,0.0,True
FQ041,self_rag,0.0,1.0,,0.0,0.0,True
FQ042,self_rag,0.0,1.0,,0.0,0.0,True
FQ043,self_rag,0.0,1.0,,0.0,0.0,True
FQ044,self_rag,0.0,1.0,,0.0,0.0,True
FQ010,seve,0.0,1.0,,0.0,0.0,True
FQ000,seve,0.0,1.0,0.0,0.0,0.0,True
FQ001,seve,0.0,1.0,,0.0,0.0,True
FQ002,seve,0.0,1.0,0.0,0.0,0.0,True
FQ003,seve,0.0,1.0,0.0,0.0,0.0,True
FQ004,seve,0.0,1.0,0.0,0.0,0.0,True
FQ005,seve,0.0,1.0,,0.0,0.0,True
FQ006,seve,0.0,1.0,0.0,0.0,0.0,True
FQ007,seve,0.0,1.0,,0.0,0.0,True
FQ008,seve,0.0,1.0,0.0,0.0,0.0,True
FQ009,seve,0.0,1.0,,0.0,0.0,True
FQ011,seve,0.0,1.0,0.0,0.0,0.0,True
FQ012,seve,0.0,1.0,0.0,0.0,0.0,True
FQ013,seve,0.0,1.0,,0.0,0.0,True
FQ014,seve,0.0,1.0,0.0,0.0,0.0,True
FQ015,seve,0.0,1.0,0.0,0.0,0.0,True
FQ016,seve,0.0,1.0,,0.0,0.0,False
FQ017,seve,0.0,1.0,0.0,0.0,0.0,True
FQ018,seve,0.0,1.0,0.0,0.0,0.0,True
FQ019,seve,0.0,1.0,0.0,0.0,0.0,True
FQ020,seve,0.0,1.0,,0.0,0.0,True
FQ021,seve,0.0,1.0,0.0,0.0,0.0,True
FQ022,seve,0.0,1.0,0.0,0.0,0.0,True
FQ023,seve,0.0,1.0,0.0,0.0,0.0,True
FQ024,seve,0.0,1.0,0.0,0.0,0.0,True
FQ025,seve,0.0,1.0,0.0,0.0,0.0,True
FQ026,seve,0.0,1.0,0.0,0.0,0.0,True
FQ027,seve,0.0,1.0,0.0,0.0,0.0,True
FQ028,seve,0.0,1.0,,0.0,0.0,True
FQ029,seve,0.0,1.0,,0.0,0.0,True
FQ030,seve,0.0,1.0,,0.0,0.0,True
FQ031,seve,0.0,1.0,0.0,0.0,0.0,True
FQ032,seve,0.0,1.0,0.0,0.0,0.0,True
FQ033,seve,0.0,1.0,0.0,0.0,0.0,True
FQ034,seve,0.0,1.0,,0.0,0.0,True
FQ035,seve,0.0,1.0,0.0,0.0,0.0,True
FQ036,seve,0.0,1.0,0.0,0.0,0.0,True
FQ037,seve,0.0,1.0,0.0,0.0,0.0,True
FQ038,seve,0.0,1.0,0.0,0.0,0.0,True
FQ039,seve,0.0,1.0,0.0,0.0,0.0,True
FQ040,seve,0.0,1.0,,0.0,0.0,True
FQ041,seve,0.0,1.0,0.0,0.0,0.0,True
FQ042,seve,0.0,1.0,0.0,0.0,0.0,True
FQ043,seve,0.0,1.0,0.0,0.0,0.0,True
FQ044,seve,0.0,1.0,0.0,0.0,0.0,True
FQ070,ablation_wo_rev_verify,0.0,1.0,0.0,0.0,0.0,True
FQ130,ablation_wo_rev_verify,0.0,1.0,0.0,0.0,0.0,True
FQ398,ablation_wo_rev_verify,0.0,1.0,0.0,0.0,0.0,True
